City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Pajacuarán,MX,1586644721,20.12,-102.57,49,9,84.56,12.5
Katherine,AU,1586644722,-14.47,132.27,62,88,75.2,3.36
Peniche,PT,1586644722,39.36,-9.38,20,87,57.99,9.17
Guerrero Negro,MX,1586644479,27.98,-114.06,5,60,64.08,19.86
Derzhavīnsk,KZ,1586644722,51.1,66.32,98,64,40.55,7.96
Bonthe,SL,1586644722,7.53,-12.51,71,79,81.55,3.65
Phan Thiet,VN,1586644722,10.93,108.1,60,79,80.11,6.06
Coyhaique,CL,1586644722,-45.58,-72.07,40,57,48.2,6.02
Labytnangi,RU,1586644722,66.66,66.42,9,90,8.96,3.67
Presidencia Roque Sáenz Peña,AR,1586644722,-26.79,-60.44,0,57,63.34,4.83
Mossamedes,AO,1586644722,-15.2,12.15,10,62,77.25,3.69
Ylivieska,FI,1586644722,64.08,24.55,97,70,30.99,6.06
Cerritos,US,1586644542,33.86,-118.06,1,52,71.6,5.82
Senno,RU,1586644723,59.53,33.92,1,97,26.91,1.54
Kargat,RU,1586644723,55.2,80.28,14,96,28.99,6.04
Cururupu,BR,1586644723,-1.83,-44.87,98,90,78.78,4.97
Deputatsky,RU,1586644723,69.3,139.9,76,92,24.58,15.3
Barra de Tecoanapa,MX,1586644723,16.52,-98.75,47,64,84.47,9.19
Gobabis,NA,1586644723,-22.45,18.97,21,77,62.6,1.12
Kaeo,NZ,1586644498,-35.1,173.78,85,79,66.99,11.01
Camacha,PT,1586644723,33.08,-16.33,40,72,62.6,12.75
Iqaluit,CA,1586644471,63.75,-68.51,75,63,26.6,11.41
Mundi,IN,1586644724,22.07,76.5,0,15,82.45,8.05
Marzuq,YE,1586644510,14.4,46.47,2,50,71.35,3.74
Warrington,GB,1586644724,53.39,-2.58,0,93,53.01,2.24
Athabasca,CA,1586644689,54.72,-113.29,99,81,27.91,11.74
Wahiawā,US,1586644724,21.5,-158.02,20,69,82.4,8.05
Lamu,KE,1586644724,-2.27,40.9,98,84,80.29,7.02
Kumul,CN,1586644509,42.8,93.45,32,23,52.66,3.56
Acapulco de Juárez,MX,1586644532,16.86,-99.89,40,74,84.2,9.17
Posse,BR,1586644724,-14.09,-46.37,97,75,69.96,3.74
Honningsvåg,NO,1586644724,70.98,25.97,97,92,30.67,10.2
Opuwo,NA,1586644724,-18.06,13.84,3,54,68.54,6.17
Novooleksiyivka,UA,1586644724,46.23,34.64,38,64,44.51,12.21
Komsomolets,KZ,1586644725,53.75,62.07,99,84,40.89,8.14
Srīvardhan,IN,1586644725,18.03,73.02,45,69,80.24,2.66
Skoropuskovskiy,RU,1586644725,56.37,38.17,0,86,30.2,6.71
Junín,AR,1586644725,-34.58,-60.94,35,64,64.0,3.0
Tynda,RU,1586644725,55.17,124.72,96,74,35.89,2.55
Lumeje,AO,1586644725,-11.55,20.78,35,69,62.1,4.16
Grand Gaube,MU,1586644725,-20.01,57.66,75,94,78.01,12.75
Liverpool,GB,1586644725,53.41,-2.98,2,93,53.01,2.24
Nishihara,JP,1586644725,26.18,127.76,75,88,69.8,16.11
Coolum Beach,AU,1586644725,-26.53,153.1,15,51,75.0,6.69
Sisimiut,GL,1586644725,66.94,-53.67,96,78,34.81,7.09
Forest,US,1586644538,37.36,-79.29,1,20,66.99,8.05
Jiayuguan City,CN,1586644725,39.82,98.3,100,22,44.28,2.01
Iwaki,JP,1586644726,37.05,140.88,75,100,48.0,2.24
Orlik,RU,1586644726,52.52,99.83,98,60,26.64,2.19
Lakatoro,VU,1586644726,-16.1,167.42,40,69,82.4,6.93
Lagoa,PT,1586644726,39.05,-27.98,0,77,61.27,10.2
Rāzole,IN,1586644726,16.48,81.83,0,95,75.02,0.83
Kaohsiung City,TW,1586644616,22.62,120.31,75,73,69.8,13.87
Albury,AU,1586644726,-36.08,146.92,40,93,46.99,3.36
Riyadh,SA,1586644529,24.69,46.72,75,27,75.2,6.93
Le Port,RE,1586644726,-20.94,55.29,90,88,73.99,10.29
Ratzeburg,DE,1586644726,53.7,10.77,69,50,51.8,8.05
Porto Velho,BR,1586644602,-8.76,-63.9,75,94,78.8,1.81
Weimar,DE,1586644605,50.98,11.32,9,52,48.99,8.05
Grand Island,US,1586644638,40.92,-98.34,1,25,73.4,9.17
Haines Junction,CA,1586644726,60.75,-137.51,0,60,35.96,2.24
Bairiki Village,KI,1586644727,1.33,172.98,40,74,87.8,12.75
Zhigansk,RU,1586644727,66.77,123.37,96,95,26.51,16.11
Monrovia,LR,1586644727,6.3,-10.8,46,82,81.3,5.1
Eydhafushi,MV,1586644727,5.1,73.07,4,65,84.42,2.01
Nipawin,CA,1586644727,53.37,-104.0,90,49,24.8,20.8
Spornoye,RU,1586644727,50.84,37.29,40,86,33.8,13.42
Schruns,AT,1586644727,47.07,9.95,5,75,52.0,4.7
Inhambupe,BR,1586644727,-11.78,-38.35,98,84,75.47,5.88
Gao,ML,1586644727,16.64,1.64,56,19,85.77,4.56
Zonguldak,TR,1586644728,41.25,31.83,37,73,39.76,2.33
Roebourne,AU,1586644626,-20.78,117.13,0,39,84.58,13.6
Abéché,TD,1586644728,13.83,20.83,75,13,80.83,14.97
Mandera,KE,1586644728,3.94,41.87,46,12,81.0,1.01
Sitka,US,1586644728,57.05,-135.33,20,42,46.4,6.93
Kongsberg,NO,1586644728,59.67,9.65,100,100,43.0,10.29
Miquelon,PM,1586644728,47.1,-56.38,70,91,32.86,23.96
Kyrylivka,UA,1586644728,46.38,35.37,16,63,44.58,12.12
Nguruka,TZ,1586644728,-5.11,31.04,37,71,64.67,3.31
Kindu,CD,1586644728,-2.95,25.95,100,85,71.91,2.42
Baruun-Urt,MN,1586644728,46.68,113.28,0,29,45.68,7.11
Kieta,PG,1586644728,-6.22,155.63,91,65,86.38,2.8
Leningradskiy,RU,1586644455,69.38,178.42,91,86,17.11,2.91
Saldanha,ZA,1586644728,-33.01,17.94,99,88,62.6,12.75
La Ronge,CA,1586644729,55.1,-105.28,75,52,19.4,16.11
Springdale,US,1586644729,36.19,-94.13,90,48,66.2,11.41
Kantang,TH,1586644729,7.41,99.52,40,84,77.77,3.31
Port Blair,IN,1586644513,11.67,92.75,78,72,82.06,7.43
Kalemie,CD,1586644729,-5.95,29.19,91,62,73.35,4.52
Shakawe,BW,1586644729,-18.37,21.85,89,55,66.6,2.95
Isiro,CD,1586644729,2.77,27.62,89,80,68.67,1.39
Hofn,IS,1586644502,64.25,-15.21,20,55,39.2,21.92
Prabumulih,ID,1586644519,-3.45,104.25,98,92,75.9,0.74
Teruel,ES,1586644729,40.67,-0.67,92,70,53.6,8.05
Bermejo,AR,1586644729,-32.88,-68.8,20,56,73.4,5.77
Flinders,AU,1586644729,-34.58,150.86,0,54,61.0,11.41
Tucuruí,BR,1586644729,-3.77,-49.67,63,92,75.87,1.32
Misratah,LY,1586644730,32.38,15.09,0,63,61.09,10.49
Imelda,PH,1586644730,7.65,123.95,41,69,82.06,3.76
Odesskoye,RU,1586644730,54.21,72.97,50,68,41.95,7.65
Curup,ID,1586644730,-3.47,102.53,75,78,71.06,1.43
Taquarituba,BR,1586644515,-23.53,-49.24,3,74,62.58,10.6
Portland,US,1586644001,45.52,-122.68,20,41,63.0,6.93
Chazuta,PE,1586644730,-6.57,-76.14,75,100,62.6,5.82
Cairns,AU,1586644730,-16.92,145.77,40,88,77.0,1.12
Alugan,PH,1586644730,12.22,125.48,92,73,80.8,3.38
Kamenka,RU,1586644730,51.32,42.77,70,85,34.0,14.81
Havre-St-Pierre,CA,1586644730,50.23,-63.6,20,51,39.2,16.11
Seoul,KR,1586644588,37.57,126.98,1,93,42.8,7.87
Kiryat Gat,IL,1586644731,31.61,34.76,10,82,57.2,5.82
Toowoomba,AU,1586644731,-27.55,151.97,0,55,69.01,5.82
Port Hardy,CA,1586644506,50.7,-127.42,20,46,53.6,8.05
Puri,IN,1586644731,19.8,85.85,40,88,80.6,3.36
Kasamwa,TZ,1586644731,-2.85,32.43,10,65,64.81,5.95
San Vicente,AR,1586644731,-26.62,-54.13,0,61,57.04,3.42
Namatanai,PG,1586644731,-3.67,152.43,100,73,83.75,1.79
Lábrea,BR,1586644731,-7.26,-64.8,81,88,77.2,1.21
Necochea,AR,1586644732,-38.55,-58.74,93,76,63.0,1.99
Khovd,MN,1586644732,48.01,91.64,100,36,38.64,1.39
Laas,IT,1586644515,46.62,10.7,5,75,50.0,4.7
Garoowe,SO,1586644732,8.41,48.48,5,67,75.69,10.69
Laguna,US,1586644497,38.42,-121.42,1,63,71.01,12.75
Panama City,PA,1586644732,8.99,-79.52,20,55,91.4,17.22
Nizhniy Odes,RU,1586644732,63.64,54.86,85,94,16.95,0.11
Mount Gambier,AU,1586644732,-37.83,140.77,90,66,53.6,6.93
Saint-Joseph,RE,1586644732,-21.37,55.62,22,78,73.99,5.82
Lasem,ID,1586644733,-6.69,111.45,81,82,79.61,6.98
Tignère,CM,1586644733,7.37,12.65,100,44,66.76,3.51
Hamadan,IR,1586644529,34.8,48.51,0,37,40.69,6.04
San José de Ocoa,DO,1586644733,18.55,-70.5,67,1,84.0,1.92
Jasper,US,1586644644,37.2,-94.35,1,52,70.0,24.16
Prince Rupert,CA,1586644733,54.32,-130.32,1,25,51.8,10.29
Mehamn,NO,1586644733,71.04,27.85,82,95,23.49,7.36
Hualmay,PE,1586644483,-11.1,-77.61,47,75,73.18,6.22
Borger,NL,1586644733,52.92,6.79,65,65,52.0,1.12
Sorong,ID,1586644690,-0.88,131.25,5,73,84.4,1.86
Batavia,US,1586644703,41.85,-88.31,90,38,64.4,14.99
Bagotville,AU,1586644733,-28.98,153.42,0,52,69.01,11.41
Walvis Bay,NA,1586644527,-22.96,14.51,0,70,73.99,6.96
Bahía Blanca,AR,1586644734,-38.72,-62.27,97,64,65.1,13.06
Limpapa,PH,1586644734,7.12,121.91,75,94,75.2,1.36
San Cristobal,VE,1586644734,7.77,-72.22,40,43,91.4,20.8
Progreso,MX,1586644703,21.28,-89.67,5,39,98.6,13.87
La Providencia,MX,1586644734,28.72,-111.58,28,42,73.99,15.01
Paamiut,GL,1586644514,61.99,-49.67,100,73,39.69,10.78
Oudtshoorn,ZA,1586644734,-33.59,22.2,95,87,60.8,3.36
Nizwá,OM,1586644734,22.93,57.53,9,36,75.06,2.91
Kushima,JP,1586644734,31.46,131.23,90,87,53.6,3.36
Arman',RU,1586644734,59.7,150.17,88,92,23.41,4.03
Carutapera,BR,1586644734,-1.2,-46.02,100,87,80.26,8.57
Rognan,NO,1586644734,67.1,15.39,100,89,32.0,19.46
Buraidah,SA,1586644735,26.33,43.98,0,37,68.0,10.29
Vostok,RU,1586644735,46.49,135.88,34,51,37.62,4.59
Northam,GB,1586644735,51.03,-4.22,0,83,57.0,4.0
Kango,GA,1586644735,0.19,10.1,92,93,73.6,1.07
Polunochnoye,RU,1586644735,60.87,60.42,100,91,32.0,0.11
Yeppoon,AU,1586644735,-23.13,150.73,40,74,78.8,6.98
Shetpe,KZ,1586644735,44.17,52.12,0,63,41.49,9.33
Praia da Vitória,PT,1586644538,38.73,-27.07,20,77,62.6,10.92
Kadaya,RU,1586644735,50.93,119.29,0,31,49.55,2.19
Cotonou,BJ,1586644735,6.37,2.42,40,74,86.0,5.82
Bac Lieu,VN,1586644736,9.29,105.72,2,68,81.64,6.85
Nuevo Progreso,MX,1586644736,23.17,-97.95,85,64,89.01,5.01
Mana,GF,1586644736,5.66,-53.78,100,83,77.04,8.37
Assiut,EG,1586644736,27.18,31.18,0,44,60.8,8.05
Gbarnga,LR,1586644736,7.0,-9.47,49,88,74.35,1.97
Hanzhong,CN,1586644736,33.07,107.03,0,38,50.68,0.6
Ust'-Karsk,RU,1586644736,52.7,118.81,0,37,50.5,3.06
Nakamura,JP,1586644736,32.98,132.93,100,93,53.15,12.57
Dwārka,IN,1586644736,22.24,68.97,28,76,79.86,15.79
Saint-Ambroise,CA,1586644736,48.55,-71.33,90,64,37.0,19.46
